"","region","haulid","year","lat","lon","stratum","stratumarea","depth","spp","wtcpue"
"1","Gulf of St. Lawrence North","15-1-2018-08-03 -20:01:00",2018,48.962833333,-63.8305,"48--64-300",1692.06227807904,314,"Amblyraja radiata",23.44
"2","Gulf of St. Lawrence North","15-1-2018-08-03 -20:01:00",2018,48.962833333,-63.8305,"48--64-300",1692.06227807904,314,"Arctozenus risso",0.1005
"3","Gulf of St. Lawrence North","15-1-2018-08-03 -20:01:00",2018,48.962833333,-63.8305,"48--64-300",1692.06227807904,314,"Enchelyopus cimbrius",0.2285
"4","Gulf of St. Lawrence North","15-1-2018-08-03 -20:01:00",2018,48.962833333,-63.8305,"48--64-300",1692.06227807904,314,"Gaidropsarus argentatus",7e-04
"5","Gulf of St. Lawrence North","15-1-2018-08-03 -20:01:00",2018,48.962833333,-63.8305,"48--64-300",1692.06227807904,314,"Glyptocephalus cynoglossus",3.82
"6","Gulf of St. Lawrence North","15-1-2018-08-03 -20:01:00",2018,48.962833333,-63.8305,"48--64-300",1692.06227807904,314,"Hippoglossoides platessoides",0.6235
"7","Gulf of St. Lawrence North","15-1-2018-08-03 -20:01:00",2018,48.962833333,-63.8305,"48--64-300",1692.06227807904,314,"Malacoraja senta",1.39
"8","Gulf of St. Lawrence North","15-1-2018-08-03 -20:01:00",2018,48.962833333,-63.8305,"48--64-300",1692.06227807904,314,"Mallotus villosus",0.4685
"9","Gulf of St. Lawrence North","15-1-2018-08-03 -20:01:00",2018,48.962833333,-63.8305,"48--64-300",1692.06227807904,314,"Merluccius bilinearis",0.462
"10","Gulf of St. Lawrence North","15-1-2018-08-03 -20:01:00",2018,48.962833333,-63.8305,"48--64-300",1692.06227807904,314,"Myxine glutinosa",9.05
"11","Gulf of St. Lawrence North","15-1-2018-08-03 -20:01:00",2018,48.962833333,-63.8305,"48--64-300",1692.06227807904,314,"Nezumia bairdii",0.804
"12","Gulf of St. Lawrence North","15-1-2018-08-03 -20:01:00",2018,48.962833333,-63.8305,"48--64-300",1692.06227807904,314,"Pandalus borealis",6.0326
"13","Gulf of St. Lawrence North","15-1-2018-08-03 -20:01:00",2018,48.962833333,-63.8305,"48--64-300",1692.06227807904,314,"Pasiphaea multidentata",3.0267
"14","Gulf of St. Lawrence North","15-1-2018-08-03 -20:01:00",2018,48.962833333,-63.8305,"48--64-300",1692.06227807904,314,"Pontophilus norvegicus",0.0089
"15","Gulf of St. Lawrence North","15-1-2018-08-03 -20:01:00",2018,48.962833333,-63.8305,"48--64-300",1692.06227807904,314,"Reinhardtius hippoglossoides",30.25
"16","Gulf of St. Lawrence North","15-1-2018-08-03 -20:01:00",2018,48.962833333,-63.8305,"48--64-300",1692.06227807904,314,"Sebastes sp.",51.8585
"17","Gulf of St. Lawrence North","15-1-2018-08-03 -20:01:00",2018,48.962833333,-63.8305,"48--64-300",1692.06227807904,314,"Urophycis tenuis",1.6
"18","Gulf of St. Lawrence North","15-10-2018-08-05 -03:04:00",2018,49.517666667,-65.77816667,"49--66-300",4021.31488974281,326,"Amblyraja radiata",6.08
"19","Gulf of St. Lawrence North","15-10-2018-08-05 -03:04:00",2018,49.517666667,-65.77816667,"49--66-300",4021.31488974281,326,"Arctozenus risso",0.0316
"20","Gulf of St. Lawrence North","15-10-2018-08-05 -03:04:00",2018,49.517666667,-65.77816667,"49--66-300",4021.31488974281,326,"Centroscyllium fabricii",40.03
"21","Gulf of St. Lawrence North","15-10-2018-08-05 -03:04:00",2018,49.517666667,-65.77816667,"49--66-300",4021.31488974281,326,"Enchelyopus cimbrius",1.265
"22","Gulf of St. Lawrence North","15-10-2018-08-05 -03:04:00",2018,49.517666667,-65.77816667,"49--66-300",4021.31488974281,326,"Glyptocephalus cynoglossus",1.186
"23","Gulf of St. Lawrence North","15-10-2018-08-05 -03:04:00",2018,49.517666667,-65.77816667,"49--66-300",4021.31488974281,326,"Hippoglossoides platessoides",0.76
"24","Gulf of St. Lawrence North","15-10-2018-08-05 -03:04:00",2018,49.517666667,-65.77816667,"49--66-300",4021.31488974281,326,"Mallotus villosus",0.0855
"25","Gulf of St. Lawrence North","15-10-2018-08-05 -03:04:00",2018,49.517666667,-65.77816667,"49--66-300",4021.31488974281,326,"Melanostigma atlanticum",0.0371
"26","Gulf of St. Lawrence North","15-10-2018-08-05 -03:04:00",2018,49.517666667,-65.77816667,"49--66-300",4021.31488974281,326,"Myxine glutinosa",8.64
"27","Gulf of St. Lawrence North","15-10-2018-08-05 -03:04:00",2018,49.517666667,-65.77816667,"49--66-300",4021.31488974281,326,"Nezumia bairdii",0.785
"28","Gulf of St. Lawrence North","15-10-2018-08-05 -03:04:00",2018,49.517666667,-65.77816667,"49--66-300",4021.31488974281,326,"Pandalus borealis",10.4921
"29","Gulf of St. Lawrence North","15-10-2018-08-05 -03:04:00",2018,49.517666667,-65.77816667,"49--66-300",4021.31488974281,326,"Pandalus montagui",0.0751
"30","Gulf of St. Lawrence North","15-10-2018-08-05 -03:04:00",2018,49.517666667,-65.77816667,"49--66-300",4021.31488974281,326,"Pasiphaea multidentata",0.5825
"31","Gulf of St. Lawrence North","15-10-2018-08-05 -03:04:00",2018,49.517666667,-65.77816667,"49--66-300",4021.31488974281,326,"Pontophilus norvegicus",0.0165
"32","Gulf of St. Lawrence North","15-10-2018-08-05 -03:04:00",2018,49.517666667,-65.77816667,"49--66-300",4021.31488974281,326,"Reinhardtius hippoglossoides",100.564
"33","Gulf of St. Lawrence North","15-10-2018-08-05 -03:04:00",2018,49.517666667,-65.77816667,"49--66-300",4021.31488974281,326,"Sebastes sp.",95.82
"34","Gulf of St. Lawrence North","15-10-2018-08-05 -03:04:00",2018,49.517666667,-65.77816667,"49--66-300",4021.31488974281,326,"Urophycis tenuis",1.23
"35","Gulf of St. Lawrence North","15-101-2018-08-20 -22:11:00",2018,51.573666667,-56.6095,"51--57-100",2976.62188228636,80,"Clupea harengus",0.68
