test.spp,region,exclude,contact_name,date,comment
Ammodytes personatus,Gulf of Alaska,TRUE,Wayne Palsson,3/17/21,I oversee the AI and GOA surveys. All of those species listed for GOA are occasional species or higher taxon codes used for species that were hard to identify. I would be reluctant to use them in any faunal analysis of distributional changes.
Atolla sp.,Gulf of Alaska,TRUE,Wayne Palsson,3/17/21,I oversee the AI and GOA surveys. All of those species listed for GOA are occasional species or higher taxon codes used for species that were hard to identify. I would be reluctant to use them in any faunal analysis of distributional changes.
Aurelia labiata,Gulf of Alaska,TRUE,Wayne Palsson,3/17/21,I oversee the AI and GOA surveys. All of those species listed for GOA are occasional species or higher taxon codes used for species that were hard to identify. I would be reluctant to use them in any faunal analysis of distributional changes.
Axinella blanca,Gulf of Alaska,TRUE,Wayne Palsson,3/17/21,I oversee the AI and GOA surveys. All of those species listed for GOA are occasional species or higher taxon codes used for species that were hard to identify. I would be reluctant to use them in any faunal analysis of distributional changes.
Benthoctopus oregonensis,Gulf of Alaska,TRUE,Wayne Palsson,3/17/21,I oversee the AI and GOA surveys. All of those species listed for GOA are occasional species or higher taxon codes used for species that were hard to identify. I would be reluctant to use them in any faunal analysis of distributional changes.
Boltenia villosa,Gulf of Alaska,TRUE,Wayne Palsson,3/17/21,I oversee the AI and GOA surveys. All of those species listed for GOA are occasional species or higher taxon codes used for species that were hard to identify. I would be reluctant to use them in any faunal analysis of distributional changes.
Cheiraster sp.,Gulf of Alaska,TRUE,Wayne Palsson,3/17/21,I oversee the AI and GOA surveys. All of those species listed for GOA are occasional species or higher taxon codes used for species that were hard to identify. I would be reluctant to use them in any faunal analysis of distributional changes.
Demospongiae,Gulf of Alaska,TRUE,Wayne Palsson,3/17/21,I oversee the AI and GOA surveys. All of those species listed for GOA are occasional species or higher taxon codes used for species that were hard to identify. I would be reluctant to use them in any faunal analysis of distributional changes.
Distaplia sp.,Gulf of Alaska,TRUE,Wayne Palsson,3/17/21,I oversee the AI and GOA surveys. All of those species listed for GOA are occasional species or higher taxon codes used for species that were hard to identify. I would be reluctant to use them in any faunal analysis of distributional changes.
Doris odhneri,Gulf of Alaska,TRUE,Wayne Palsson,3/17/21,I oversee the AI and GOA surveys. All of those species listed for GOA are occasional species or higher taxon codes used for species that were hard to identify. I would be reluctant to use them in any faunal analysis of distributional changes.
