test.spp,region,exclude,contact_name,date,comment
Abietinaria greenei,Aleutian Islands,TRUE,Wayne Palsson,3/17/21,I oversee the AI and GOA surveys. All of those species listed for GOA are occasional species or higher taxon codes used for species that were hard to identify. I would be reluctant to use them in any faunal analysis of distributional changes.
Abietinaria sp.,Aleutian Islands,TRUE,Wayne Palsson,3/17/21,I oversee the AI and GOA surveys. All of those species listed for GOA are occasional species or higher taxon codes used for species that were hard to identify. I would be reluctant to use them in any faunal analysis of distributional changes.
Actinostola sp. B (Clark 2006),Aleutian Islands,TRUE,Wayne Palsson,3/17/21,I oversee the AI and GOA surveys. All of those species listed for GOA are occasional species or higher taxon codes used for species that were hard to identify. I would be reluctant to use them in any faunal analysis of distributional changes.
Aequorea sp.,Aleutian Islands,TRUE,Wayne Palsson,3/17/21,I oversee the AI and GOA surveys. All of those species listed for GOA are occasional species or higher taxon codes used for species that were hard to identify. I would be reluctant to use them in any faunal analysis of distributional changes.
Aglaophenia sp.,Aleutian Islands,TRUE,Wayne Palsson,3/17/21,I oversee the AI and GOA surveys. All of those species listed for GOA are occasional species or higher taxon codes used for species that were hard to identify. I would be reluctant to use them in any faunal analysis of distributional changes.
Alaskagorgia aleutiana,Aleutian Islands,TRUE,Wayne Palsson,3/17/21,I oversee the AI and GOA surveys. All of those species listed for GOA are occasional species or higher taxon codes used for species that were hard to identify. I would be reluctant to use them in any faunal analysis of distributional changes.
Alcyonidium disciforme,Aleutian Islands,TRUE,Wayne Palsson,3/17/21,I oversee the AI and GOA surveys. All of those species listed for GOA are occasional species or higher taxon codes used for species that were hard to identify. I would be reluctant to use them in any faunal analysis of distributional changes.
Alcyonidium pedunculatum,Aleutian Islands,TRUE,Wayne Palsson,3/17/21,I oversee the AI and GOA surveys. All of those species listed for GOA are occasional species or higher taxon codes used for species that were hard to identify. I would be reluctant to use them in any faunal analysis of distributional changes.
Alcyonidium sp.,Aleutian Islands,TRUE,Wayne Palsson,3/17/21,I oversee the AI and GOA surveys. All of those species listed for GOA are occasional species or higher taxon codes used for species that were hard to identify. I would be reluctant to use them in any faunal analysis of distributional changes.
Alcyonidium sp. A,Aleutian Islands,TRUE,Wayne Palsson,3/17/21,I oversee the AI and GOA surveys. All of those species listed for GOA are occasional species or higher taxon codes used for species that were hard to identify. I would be reluctant to use them in any faunal analysis of distributional changes.
Alcyonium sp. A (Clark 2006),Aleutian Islands,TRUE,Wayne Palsson,3/17/21,I oversee the AI and GOA surveys. All of those species listed for GOA are occasional species or higher taxon codes used for species that were hard to identify. I would be reluctant to use them in any faunal analysis of distributional changes.
Amaroucium soldatovi,Aleutian Islands,TRUE,Wayne Palsson,3/17/21,I oversee the AI and GOA surveys. All of those species listed for GOA are occasional species or higher taxon codes used for species that were hard to identify. I would be reluctant to use them in any faunal analysis of distributional changes.
Ammodytes personatus,Aleutian Islands,TRUE,Wayne Palsson,3/17/21,I oversee the AI and GOA surveys. All of those species listed for GOA are occasional species or higher taxon codes used for species that were hard to identify. I would be reluctant to use them in any faunal analysis of distributional changes.
