SPEC,COMM,CODE,TSN
SYNAPHOBRANCHUS KAUPI,GRAY'S CUTTHROAT EEL,602,NA
LYCENCHELYS VERRILLI,WOLF EELPOUT,603,NA
NEMICHTHYS SCOLOPACEUS,SNIPE EEL,604,NA
NESSORHAMPHUS INGOLFIANUS,DUCKBILL OCEANIC EEL,607,NA
CONGER OCEANICUS,CONGER EEL,608,NA
OPHICHTHUS CRUENTIFER,SNAKE EEL,609,NA
AMMODYTES DUBIUS,NORTHERN SAND LANCE,610,NA
AMMODYTES SP.,SAND LANCE (NS),611,NA
GYMNELIS VIRIDIS,FISH DOCTOR,616,NA
LYCENCHELYS PAXILLUS,COMMON WOLF EEL,617,NA
LYCODES LAVALAEI,LAVAL'S EELPOUT,620,NA
PHOLIS GUNNELLUS,ROCK GUNNEL(EEL),621,NA
LUMPENUS LUMPRETAEFORMIS,SNAKE BLENNY,622,NA
LUMPENUS MACULATUS,DAUBED SHANNY,623,NA
ULVARIA SUBBIFURCATA,RADIATED SHANNY,625,NA
EUMESOGRAMMUS PRAECISUS,4-LINE SNAKE BLENNY,626,NA
CRYPTACANTHODES MACULATUS,WRYMOUTH,630,NA
PHOLIS FASCIATA,BANDED GUNNEL,633,NA
ANGUILLOIDEI S.O.,UNIDENTIFIED EELS,634,NA
FOETOREPUS AGASSIZI,SPOTFIN DRAGONET,637,NA
STICHAEIDAE F.,PRICKLEBACKS,639,NA
ZOARCES AMERICANUS,OCEAN POUT,640,NA
LYCODES RETICULATUS,ARCTIC EELPOUT,641,NA
LYCODES SP.,EELPOUTS(NS),642,NA
BLENNIOIDEI S.O.,"BLENNIES,SHANNIES,GUNNELS",644,NA
MELANOSTIGMA ATLANTICUM,ATLANTIC SOFT POUT,646,NA
LYCODES VAHLII,SHORTTAILED EELPOUT(VAHL),647,NA
ANGUILLIDAE F.,EEL-UNIDENTIFIED,648,NA
OPHIDIIDAE,CUSK-EELS INCLUDES BROTULIDAE F.,649,NA
LEPOPHIDIUM PROFUNDORUM,FAWN CUSK EEL,650,NA
PERCOIDEI S.O.,PERCOIDEI F.,652,NA
CALLIONYMUS SP.,CALLIONYMUS SP.,657,NA
OPHIDIOIDEI S.O.,CUSK EELS (NS),660,NA
SCOPELARCHUS ANALIS,SCOPELARCHUS ANALIS,681,NA
PEPRILUS TRIACANTHUS,BUTTERFISH,701,NA
SYNGNATHUS FUSCUS,NORTHERN PIPEFISH,702,NA
ZENOPSIS OCELLATA,AMERICAN JOHN DORY,704,NA
ARGYROPELECUS GIGAS,ARGYROPELECUS GIGAS,705,NA
POLYIPNUS CLARUS,"HATCHETFISH,SLOPE",708,NA
NOTOLEPIS RISSOI,WHITE BARRACUDINA,712,NA
PARALEPIDIDAE F.,"BARRACUDINA,UNIDENTIFIED",713,NA
BENTHODESMUS SIMONYI,SIMONYI'S FROSTFISH,714,NA
STERNOPTYCHIDAE F.,UNIDENTIFIED HATCHETFISH,741,NA
DIBRANCHUS ATLANTICUS,ATLANTIC BATFISH,742,NA
HYPEROGLYPHE PERCIFORMIS,AMERICAN BARRELFISH,743,NA
SYNGNATHUS SP.,PIPEFISH UNIDEN.,759,NA
MENIDIA MENIDIA,ATLANTIC SILVERSIDE,770,NA
POLYMIXIA LOWEI,BEARDFISH,771,NA
GRAMMICOLEPIS BRACHIUSCULUS,THORNY TINSELFISH,777,NA
SYMPHURUS SP.,TONGUEFISH,805,NA
SYMPHURUS DIOMEDEANUS,TONGUE FISH,816,NA
XENOLEPIDICHTHYS DALGLEISHI,SPOTTED TINSELFISH,866,NA
PARALIPARIS CALIDUS,SEASNAIL,868,NA
ARTEDIELLUS ATLANTICUS,"HOOKEAR SCULPIN,ATL.",880,NA
PHOCIDAE F.,SEALS (NS),900,NA
CAREPROCTUS RANULA,SCOTIAN SNAILFISH,924,NA
LUMPENUS  SP.,BLENNIES (NS),946,NA
RAJA GARMANI,"SKATE,ROSETTE",967,NA
EGGS UNID.,EGGS UNID.,1100,NA
FISH EGGS-UNIDENTIFIED,FISH EGGS-UNIDENTIFIED,1200,NA
