SPEC,COMM,CODE,TSN
SYNAPHOBRANCHUS KAUPI,GRAY'S CUTTHROAT EEL,602,NA
LYCENCHELYS VERRILLI,WOLF EELPOUT,603,NA
AMMODYTES DUBIUS,NORTHERN SAND LANCE,610,NA
GYMNELIS VIRIDIS,FISH DOCTOR,616,NA
PHOLIS GUNNELLUS,ROCK GUNNEL(EEL),621,NA
LUMPENUS LUMPRETAEFORMIS,SNAKE BLENNY,622,NA
LUMPENUS MACULATUS,DAUBED SHANNY,623,NA
ULVARIA SUBBIFURCATA,RADIATED SHANNY,625,NA
EUMESOGRAMMUS PRAECISUS,4-LINE SNAKE BLENNY,626,NA
LYCODES POLARIS,POLAR EELPOUT,628,NA
CRYPTACANTHODES MACULATUS,WRYMOUTH,630,NA
FOETOREPUS AGASSIZI,SPOTFIN DRAGONET,637,NA
STICHAEIDAE F.,PRICKLEBACKS,639,NA
ZOARCES AMERICANUS,OCEAN POUT,640,NA
LYCODES RETICULATUS,ARCTIC EELPOUT,641,NA
LYCODES SP.,EELPOUTS(NS),642,NA
LYCODES VAHLII,SHORTTAILED EELPOUT(VAHL),647,NA
MYCTEROPERCA SP.,SEA BASSES,664,NA
OGCOCEPHALIDAE F.,BATFISHES,694,NA
ARGYROPELECUS ACULEATUS,"HATCHETFISH, ATLANTIC SILVER",700,NA
PEPRILUS TRIACANTHUS,BUTTERFISH,701,NA
ZENOPSIS OCELLATA,AMERICAN JOHN DORY,704,NA
PARALEPIS ATLANTICA,SHORT BARRACUDINA,711,NA
NOTOLEPIS RISSOI,WHITE BARRACUDINA,712,NA
PARALEPIDIDAE F.,"BARRACUDINA,UNIDENTIFIED",713,NA
SCOMBERESOX SAURUS,"ATLANTIC SAURY,NEEDLEFISH",720,NA
STERNOPTYCHIDAE F.,UNIDENTIFIED HATCHETFISH,741,NA
DIBRANCHUS ATLANTICUS,ATLANTIC BATFISH,742,NA
POLYMIXIA NOBILIS,STOUT BEARD FISH,744,NA
POLYMIXIA LOWEI,BEARDFISH,771,NA
PANDALUS SP.,PANDALUS SP.,2210,NA
BRACHYURA S.,BRACHIURAN CRABS,2510,NA
CANCER BOREALIS,JONAH CRAB,2511,NA
CANCER IRRORATUS,ATLANTIC ROCK CRAB,2513,NA
HYAS SP.,"TOAD CRAB,UNIDENT.",2520,NA
CHIONOECETES SP. (OBSOLETE),"SPIDER/(QUEEN,SNOW)UNID",2522,NA
LITHODES MAJA,NORTHERN STONE CRAB,2523,NA
LITHODES/NEOLITHODES,SPINY CRAB,2525,NA
CHIONOECETES OPILIO,SNOW CRAB (QUEEN),2526,NA
NEOLITHODES GRIMALDII,PORCUPINE CRAB,2528,NA
CHACEON QUINQUEDENS,RED DEEPSEA CRAB,2532,NA
HOMARUS AMERICANUS,AMERICAN LOBSTER,2550,NA
PAGUROIDEA S.F.,PAGUROIDEA S.F.,2560,NA
ILLEX ILLECEBROSUS,SHORT-FIN SQUID,4511,NA
LOLIGO PEALEII,"LONGFIN SQUID, LONGFIN INSHORE SQUID",4512,NA
BALISTES CAPRISCUS,GRAY TRIGGERFISH,3,NA
STEPHANOLEPIS HISPIDUS,PLANEHEAD FILEFISH,6,NA
GADUS MORHUA,COD(ATLANTIC),10,NA
MELANOGRAMMUS AEGLEFINUS,HADDOCK,11,NA
UROPHYCIS TENUIS,WHITE HAKE,12,NA
UROPHYCIS CHUSS,SQUIRREL OR RED HAKE,13,NA
MERLUCCIUS BILINEARIS,SILVER HAKE,14,NA
BROSME BROSME,CUSK,15,NA
POLLACHIUS VIRENS,POLLOCK,16,NA
MICROGADUS TOMCOD,TOMCOD(ATLANTIC),17,NA
MERLUCCIUS ALBIDUS,OFF-SHORE HAKE,19,NA
SEBASTES SP.,REDFISH UNSEPARATED,23,NA
NEALOTUS TRIPES,NEALOTUS TRIPES,28,NA
HIPPOGLOSSUS HIPPOGLOSSUS,HALIBUT(ATLANTIC),30,NA
REINHARDTIUS HIPPOGLOSSOIDES,"TURBOT,GREENLAND HALIBUT",31,NA
HIPPOGLOSSOIDES PLATESSOIDES,AMERICAN PLAICE,40,NA
