taxon,species,genus,family,order,class,superclass,subphylum,phylum,kingdom,name,common
ANASIMUS LATUS,latus,Anasimus,Inachoididae,Decapoda,Malacostraca,NA,Crustacea,Arthropoda,Animalia,Anasimus latus,stilt spider crab
ABLENNES HIANS,hians,Ablennes,,,,,,,,Ablennes hians,flat needlefish
ACANTHEPHYRA PELAGICA,pelagica,Acanthephyra,Acanthephyridae,Decapoda,Malacostraca,NA,Crustacea,Arthropoda,Animalia,Acanthephyra pelagica,scarlet shrimp
Acantholithodes hispidus,hispidus,Acantholithodes,Hapalogastridae,Decapoda,Malacostraca,NA,Crustacea,Arthropoda,Animalia,Acantholithodes hispidus,spiny lithode crab
Acantholithodeshispidus,hispidus,Acantholithodes,Hapalogastridae,Decapoda,Malacostraca,NA,Crustacea,Arthropoda,Animalia,Acantholithodes hispidus,spiny lithode crab
ACANTHOSTRACION QUADRICORNIS,,,,,,,,,,Acanthostracion quadricornis,scrawled cowfish
ACANTHURUS COERULEUS,,,,,,,,,,Acanthurus coeruleus,blue tang
ACHIRUS LINEATUS,,,,,,,,,,Achirus lineatus,lined sole
ACHOA HEPSETUS,hepsetus,Anchoa,Engraulidae,Clupeiformes,Actinopterygii,Osteichthyes,Vertebrata,Chordata,Animalia,Anchoa hepsetus,striped anchovy
ACHOA MITCHILLI,mitchilli,Anchoa,Engraulidae,Clupeiformes,Actinopterygii,Pisces,Vertebrata,Chordata,Animalia,Anchoa mitchilli,bay anchovy
ACIPENSER OXYRINCHUS,,,,,,,,,,Acipenser oxyrinchus,Atlantic sturgeon
ACTINARIA,NA,NA,NA,Actiniaria,Anthozoa,NA,NA,Cnidaria,Animalia,Actiniaria spp.,anemones
Actinauge verrilli,verrilli,Actinauge,Hormathiidae,Actiniaria,Anthozoa,NA,Anthozoa,Cnidaria,Animalia,Actinauge verrilli,reticulate anemone
Actiniaria,NA,NA,NA,Actiniaria,Anthozoa,NA,Anthozoa,Cnidaria,Animalia,Actiniaria spp.,anemones
ACYLOPSETTA DILECTA,dilecta,Ancylopsetta,Paralichthyidae,Pleuronectiformes,Actinopterygii,Osteichthyes,Vertebrata,Chordata,Animalia,Acylopsetta dilecta,three-eye flounder
ACYLOPSETTA QUADROCELLATA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Ancylopsetta ommata,ocellated flounder
AETOBATUS NARINARI,,,,,,,,,,Aetobatus narinari,spotted eagle ray
Aforia circinata,circinata,Aforia,Cochlespiridae,Neogastropoda,Gastropoda,NA,NA,Mollusca,Animalia,Aforia circinata,keeled aforia
Aforiacircinata,circinata,Aforia,Cochlespiridae,Neogastropoda,Gastropoda,NA,NA,Mollusca,Animalia,Aforia circinata,keeled aforia
Agonopsis vulsa,vulsa,Agonopsis,Agonidae,Scorpaeniformes,Actinopterygii,Osteichthyes,Vertebrata,Chordata,Animalia,Agonopsis vulsa,northern spearnose poacher
AGONUS DECAGONUS,decagonus,Leptagonus,Agonidae,Scorpaeniformes,Actinopterygii,Pisces,Vertebrata,Chordata,Animalia,Leptagonus decagonus,Atlantic poacher
Albatrossia pectoralis,pectoralis,Albatrossia,Macrouridae,Gadiformes,Actinopterygii,Pisces,Vertebrata,Chordata,Animalia,Albatrossia pectoralis,giant grenadier
Albatrossiapectoralis,pectoralis,Albatrossia,Macrouridae,Gadiformes,Actinopterygii,Pisces,Vertebrata,Chordata,Animalia,Albatrossia pectoralis,giant grenadier
ALBUNEA PARETII,,,,,,,,,,Albunea paretii,beach mole crab
ALECTIS CILIARIS,,,,,,,,,,Alectis ciliaris,African pompano
ALEPOCEPHALUS BAIRDII,bairdii,Alepocephalus,Alepocephalidae,Osmeriformes,Actinopterygii,Pisces,Vertebrata,Chordata,Animalia,Alepocephalus bairdii,Baird's smoothhead
Allocentrotus fragilis,fragilis,Allocentrotus,Strongylocentrotidae,Echinoida,Echinoidea,NA,Echinozoa,Echinodermata,Animalia,Allocentrotus fragilis,fragile urchin
Allosmerus elongatus,elongatus,Allosmerus,Osmeridae,Osmeriformes,Actinopterygii,Pisces,Vertebrata,Chordata,Animalia,Allosmerus elongatus,whitebait smelt
ALOPIAS VULPINUS,,,,,,,,,,Alopias vulpinus,thresher shark
ALOSA AESTIVALIS,aestivalis,Alosa,Clupeidae,Clupeiformes,Actinopterygii,Pisces,Vertebrata,Chordata,Animalia,Alosa aestivalis,blueback herring
Alosa aestivalis,aestivalis,Alosa,Clupeidae,Clupeiformes,Actinopterygii,Pisces,Vertebrata,Chordata,Animalia,Alosa aestivalis,blueback herring
ALOSA PSEUDOHARENGUS,pseudoharengus,Alosa,Clupeidae,Clupeiformes,Actinopterygii,Pisces,Vertebrata,Chordata,Animalia,Alosa pseudoharengus,alewife
Alosa pseudoharengus,pseudoharengus,Alosa,Clupeidae,Clupeiformes,Actinopterygii,Pisces,Vertebrata,Chordata,Animalia,Alosa pseudoharengus,alewife
ALOSA SAPIDISSIMA,sapidissima,Alosa,Clupeidae,Clupeiformes,Actinopterygii,Pisces,Vertebrata,Chordata,Animalia,Alosa sapidissima,American shad
Alosa sapidissima,sapidissima,Alosa,Clupeidae,Clupeiformes,Actinopterygii,Pisces,Vertebrata,Chordata,Animalia,Alosa sapidissima,American shad
ALPHEUS FORMOSUS,,,,,,,,,,Alpheus formosus,striped snapping shrimp
ALPHEUS HETEROCHAELIS,,,,,,,,,,Alpheus heterochaelis,bigclaw snapping shrimp
ALUTERUS HEUDELOTII,,,,,,,,,,Aluterus heudelotii,dotterel filefish
ALUTERUS MONOCEROS,,,,,,,,,,Aluterus monoceros,unicorn filefish
ALUTERUS SCHOEPFII,,,,,,,,,,Aluterus schoepfii,orange filefish
AMBLYRAJA RADIATA,radiata,Amblyraja,Rajidae,Rajiformes,Elasmobranchii,Pisces,Vertebrata,Chordata,Animalia,Amblyraja radiata,starry skate
Amblyraja radiata,radiata,Amblyraja,Rajidae,Rajiformes,Elasmobranchii,Pisces,Vertebrata,Chordata,Animalia,Amblyraja radiata,starry skate
AMMODYTES DUBIUS,dubius,Ammodytes,Ammodytidae,Perciformes,Actinopterygii,Pisces,Vertebrata,Chordata,Animalia,Ammodytes dubius,northern sand lance
Ammodytes hexapterus,hexapterus,Ammodytes,Ammodytidae,Perciformes,Actinopterygii,Pisces,Vertebrata,Chordata,Animalia,Ammodytes hexapterus,Pacific sand lance
Ammodyteshexapterus,hexapterus,Ammodytes,Ammodytidae,Perciformes,Actinopterygii,Pisces,Vertebrata,Chordata,Animalia,Ammodytes hexapterus,Pacific sand lance
AMUSIUM PAPYRACEUM,papyraceum,Amusium,Pectinidae,Ostreoida,Bivalvia,NA,NA,Mollusca,Animalia,Amusium papyraceum,paper scallop
ANARHICHAS DENTICULATUS,denticulatus,Anarhichas,Anarhichadidae,Perciformes,Actinopterygii,Pisces,Vertebrata,Chordata,Animalia,Anarhichas denticulatus,northern wolffish
ANARHICHAS LUPUS,lupus,Anarhichas,Anarhichadidae,Perciformes,Actinopterygii,Pisces,Vertebrata,Chordata,Animalia,Anarhichas lupus,Atlantic wolffish
Anarhichas lupus,lupus,Anarhichas,Anarhichadidae,Perciformes,Actinopterygii,Pisces,Vertebrata,Chordata,Animalia,Anarhichas lupus,Atlantic wolffish
ANARHICHAS MINOR,minor,Anarhichas,Anarhichadidae,Perciformes,Actinopterygii,Pisces,Vertebrata,Chordata,Animalia,Anarhichas minor,spotted wolffish
Anarhichas orientalis,orientalis,Anarhichas,Anarhichadidae,Perciformes,Actinopterygii,Pisces,Vertebrata,Chordata,Animalia,Anarhichas orientalis,Bering wolffish
Anarhichasorientalis,orientalis,Anarhichas,Anarhichadidae,Perciformes,Actinopterygii,Pisces,Vertebrata,Chordata,Animalia,Anarhichas orientalis,Bering wolffish
Anarrhichthys ocellatus,ocellatus,Anarrhichthys,Anarhichadidae,Perciformes,Actinopterygii,Osteichthyes,Vertebrata,Chordata,Animalia,Anarrhichthys ocellatus,wolf-eel
ANASIMUS LATUS,latus,Anasimus,Inachoididae,Decapoda,Malacostraca,NA,Crustacea,Arthropoda,Animalia,Anasimus latus,stilt spider crab
ANCHOA,,,,,,,,,,Anchoa spp.,anchovy
ANCHOA HEPSETUS,hepsetus,Anchoa,Engraulidae,Clupeiformes,Actinopterygii,Pisces,Vertebrata,Chordata,Animalia,Anchoa hepsetus,striped anchovy
ANCHOA MITCHILLI,mitchilli,Anchoa,Engraulidae,Clupeiformes,Actinopterygii,Pisces,Vertebrata,Chordata,Animalia,Anchoa mitchilli,bay anchovy
ANCYLOPSETTA DILECTA,dilecta,Ancylopsetta,Bothidae,Pleuronectiformes,Actinopterygii,Pisces,Vertebrata,Chordata,Animalia,Ancylopsetta dilecta,three-eye flounder
ANCYLOPSETTA QUADROCELLATA,ommata,Ancylopsetta,Bothidae,Pleuronectiformes,Actinopterygii,Pisces,Vertebrata,Chordata,Animalia,Ancylopsetta ommata,ocellated flounder
Anisodoris nobilis,nobilis,Anisodoris,Discodorididae,Nudibranchia,Gastropoda,NA,NA,Mollusca,Animalia,Anisodoris nobilis,Pacific sea-lemon
ANISOTREMUS VIRGINICUS,,,,,,,,,,Anisotremus virginicus,PORKFISH
Anoplopoma fimbria,fimbria,Anoplopoma,Anoplopomatidae,Scorpaeniformes,Actinopterygii,Pisces,Vertebrata,Chordata,Animalia,Anoplopoma fimbria,sablefish
Anoplopomafimbria,fimbria,Anoplopoma,Anoplopomatidae,Scorpaeniformes,Actinopterygii,Pisces,Vertebrata,Chordata,Animalia,Anoplopoma fimbria,sablefish
ANTENNARIUS OCELLATUS,,,,,,,,,,Antennarius ocellatus,ocellated frogfish
ANTENNARIUS RADIOSUS,radiosus,Antennarius,Antennariidae,Lophiiformes,Actinopterygii,Pisces,Vertebrata,Chordata,Animalia,Antennarius radiosus,singlespot frogfish
Anthoptilum grandiflorum,grandiflorum,Anthoptilum,Anthoptilidae,Pennatulacea,Anthozoa,NA,Anthozoa,Cnidaria,Animalia,Anthoptilum grandiflorum,sea pen
ANTIMORA ROSTRATA,rostrata,Antimora,Moridae,Gadiformes,Actinopterygii,Pisces,Vertebrata,Chordata,Animalia,Antimora rostrata,blue hake
Aphrocallistes vastus,vastus,Aphrocallistes,Aphrocallistidae,Hexactinosida,Hexactinellida,NA,NA,Porifera,Animalia,Aphrocallistes vastus,cloud sponge
Aphrodita spp.,NA,Aphrodita,Aphroditidae,Phyllodocida,Errantia,NA,Polychaeta,Annelida,Animalia,Aphrodita spp.,sea mouse
Aphroditidae,NA,NA,Aphroditidae,Phyllodocida,Polychaeta,NA,Polychaeta,Annelida,Animalia,Aphroditidae spp.,sea mice
Aplidium sp. A (Clark 2006),NA,Aplidium,Polyclinidae,Aplousobranchia,Ascidiacea,NA,Tunicata,Chordata,Animalia,Aplidium spp.,ascidians
Aplidiumsp.A(Clark2006),NA,Aplidium,Polyclinidae,Aplousobranchia,Ascidiacea,NA,Tunicata,Chordata,Animalia,Aplidium spp.,ascidians
Apristurus brunneus,brunneus,Apristurus,Scyliorhinidae,Carcharhiniformes,Elasmobranchii,Pisces,Vertebrata,Chordata,Animalia,Apristurus brunneus,brown cat shark
Aptocyclus ventricosus,ventricosus,Aptocyclus,Cyclopteridae,Scorpaeniformes,Actinopterygii,Pisces,Vertebrata,Chordata,Animalia,Aptocyclus ventricosus,smooth lumpsucker
Aptocyclusventricosus,ventricosus,Aptocyclus,Cyclopteridae,Scorpaeniformes,Actinopterygii,Pisces,Vertebrata,Chordata,Animalia,Aptocyclus ventricosus,smooth lumpsucker
ARCHOSARGUS PROBATOCEPHALUS,,,,,,,,,,Archosargus probatocephalus,sheepshead
Arctomelon stearnsii,stearnsii,Arctomelon,Volutidae,Neogastropoda,Gastropoda,NA,NA,Mollusca,Animalia,Arctomelon stearnsii,Alaska volute
AREAEUS CRIBRARIUS,cribrarius,Arenaeus,Portunidae,Decapoda,Malacostraca,NA,Crustacea,Arthropoda,Animalia,Arenaeus cribrarius,speckled swimming crab
ARENAEUS CRIBRARIUS,,,,,,,,,,Arenaeus cribrarius,speckled swimming crab
Argentina sialis,sialis,Argentina,Argentinidae,Osmeriformes,Actinopterygii,Osteichthyes,Vertebrata,Chordata,Animalia,Argentina sialis,Pacific argentine
ARGENTINA SILUS,silus,Argentina,Argentinidae,Osmeriformes,Actinopterygii,Pisces,Vertebrata,Chordata,Animalia,Argentina silus,Atlantic argentine
Argentina silus,silus,Argentina,Argentinidae,Osmeriformes,Actinopterygii,Pisces,Vertebrata,Chordata,Animalia,Argentina silus,Atlantic argentine
ARGIS DENTATA,dentata,Argis,Crangonidae,Decapoda,Malacostraca,NA,Crustacea,Arthropoda,Animalia,Argis dentata,Artic argid
Argis dentata,dentata,Argis,Crangonidae,Decapoda,Malacostraca,NA,Crustacea,Arthropoda,Animalia,Argis dentata,Artic argid
Argis lar,lar,Argis,Crangonidae,Decapoda,Malacostraca,NA,Crustacea,Arthropoda,Animalia,Argis lar,kuro shrimp
Argis sp.,NA,Argis,Crangonidae,Decapoda,Malacostraca,NA,Crustacea,Arthropoda,Animalia,Argis spp.,argid shrimps
Argissp.,NA,Argis,Crangonidae,Decapoda,Malacostraca,NA,Crustacea,Arthropoda,Animalia,Argis spp.,argid shrimps
ARIOMMA REGULUS,,,,,,,,,,Ariomma regulus,spotted driftfish
ARIOPSIS FELIS,,,,,,,,,,Ariopsis felis,hardhead catfish
ARIUS FELIS,felis,Ariopsis,Ariidae,Siluriformes,Actinopterygii,Pisces,Vertebrata,Chordata,Animalia,Ariopsis felis,hardhead catfish
ARTEDIELLUS  SP,NA,Artediellus,Cottidae,Scorpaeniformes,Actinopterygii,Pisces,Vertebrata,Chordata,Animalia,Artediellus spp.,hookear sculpins
ARTEDIELLUS  SP.,NA,Artediellus,Cottidae,Scorpaeniformes,Actinopterygii,Pisces,Vertebrata,Chordata,Animalia,Artediellus spp.,hookear sculpins
Ascidiacea,NA,NA,NA,NA,Ascidiacea,NA,Tunicata,Chordata,Animalia,Tunicata spp.,tunicates
Aspidophoroides bartoni,bartoni,Aspidophoroides,Agonidae,Scorpaeniformes,Actinopterygii,Pisces,Vertebrata,Chordata,Animalia,Aspidophoroides bartoni,Aleutian alligatorfish
ASPIDOPHOROIDES MONOPTERYGIUS,monopterygius,Aspidophoroides,Agonidae,Scorpaeniformes,Actinopterygii,Pisces,Vertebrata,Chordata,Animalia,Aspidophoroides monopterygius,alligatorfish
ASPIDOPHOROIDES OLRIKI,olrikii,Ulcina,Agonidae,Scorpaeniformes,Actinopterygii,Pisces,Vertebrata,Chordata,Animalia,Ulcina olrikii,Arctic alligatorfish
Aspidophoroidesbartoni,bartoni,Aspidophoroides,Agonidae,Scorpaeniformes,Actinopterygii,Pisces,Vertebrata,Chordata,Animalia,Aspidophoroides bartoni,Aleutian alligatorfish
Asterias amurensis,amurensis,Asterias,Asteriidae,Forcipulatida,Asteroidea,NA,Asterozoa,Echinodermata,Animalia,Asterias amurensis,North Pacific seastar
Asteriasamurensis,amurensis,Asterias,Asteriidae,Forcipulatida,Asteroidea,NA,Asterozoa,Echinodermata,Animalia,Asterias amurensis,North Pacific seastar
ASTEROIDEA,NA,NA,NA,NA,Asteroidea,NA,Asterozoa,Echinodermata,Animalia,Asterozoa spp.,sea stars
Asteroidea,NA,NA,NA,NA,Asteroidea,NA,Asterozoa,Echinodermata,Animalia,Asterozoa spp.,sea stars
Astropecten californicus,verilli,Astropecten,Astropectinidae,Paxillosida,Asteroidea,NA,Asterozoa,Echinodermata,Animalia,Astropecten verilli,sea star
ASTROSCOPUS GUTTATUS,,,,,,,,,,Astroscopus guttatus,northern stargazer
ASTROSCOPUS Y-GRAECUM,,,,,,,,,,Astroscopus y-graecum,southern stargazer
ATEARIUS RADIOSUS,radiosus,Antennarius,Antennariidae,Lophiiformes,Actinopterygii,Osteichthyes,Vertebrata,Chordata,Animalia,Atearius radiosus,singlespot frogfish
Atheresthes evermanni,NA,NA,NA,NA,NA,NA,NA,NA,NA,Atheresthes evermanni,Kamchatka flounder
Atheresthes sp.,NA,Atheresthes,Pleuronectidae,Pleuronectiformes,Actinopterygii,Pisces,Vertebrata,Chordata,Animalia,Atheresthes spp.,arrowtooth and Kamchatka flounders
Atheresthes stomias,stomias,Atheresthes,Pleuronectidae,Pleuronectiformes,Actinopterygii,Pisces,Vertebrata,Chordata,Animalia,Atheresthes stomias,arrowtooth flounder
Atheresthessp,NA,Atheresthes,Pleuronectidae,Pleuronectiformes,Actinopterygii,Pisces,Vertebrata,Chordata,Animalia,Atheresthes spp.,arrowtooth and Kamchatka flounders
Atheresthessp.,NA,Atheresthes,Pleuronectidae,Pleuronectiformes,Actinopterygii,Pisces,Vertebrata,Chordata,Animalia,Atheresthes spp.,arrowtooth and Kamchatka flounders
Atheresthesstomias,stomias,Atheresthes,Pleuronectidae,Pleuronectiformes,Actinopterygii,Pisces,Vertebrata,Chordata,Animalia,Atheresthes stomias,arrowtooth flounder
AURELIA,NA,Aurelia,Ulmaridae,Semaeostomeae,Scyphozoa,NA,Medusozoa,Cnidaria,Animalia,Aurelia spp.,moon jellies
Aurelia spp.,NA,Aurelia,Ulmaridae,Semaeostomeae,Scyphozoa,NA,Medusozoa,Cnidaria,Animalia,Aurelia spp.,moon jellies
BAGRE MARINUS,,,,,,,,,,Bagre marinus,Gafftopsail catfish
BAGRE MARIUS,marinus,Bagre,Ariidae,Siluriformes,Actinopterygii,Pisces,Vertebrata,Chordata,Animalia,Bagre marinus,Gafftopsail catfish
BAIRDIELLA CHRYSOURA,,,,,,,,,,Bairdiella chrysoura,silver perch
Balanus evermanni,evermanni,Chirona,Archaeobalanidae,Sessillia,Maxillopoda,NA,Crustacea,Arthropoda,Animalia,Chirona evermanni,barnacle
Balanus sp.,NA,Balanus,Balanidae,Sessilia,Maxillopoda,NA,Crustacea,Arthropoda,Animalia,Balanus spp.,barnacle
BALISTES CAPRISCUS,capriscus,Balistes,Balistidae,Tetraodontiformes,Actinopterygii,Pisces,Vertebrata,Chordata,Animalia,Balistes capriscus,gray triggerfish
Bathyagonus nigripinnis,nigripinnis,Bathyagonus,Agonidae,Scorpaeniformes,Actinopterygii,Osteichthyes,Vertebrata,Chordata,Animalia,Bathyagonus nigripinnis,blackfin poacher
Bathyagonus pentacanthus,pentacanthus,Bathyagonus,Agonidae,Scorpaeniformes,Actinopterygii,Osteichthyes,Vertebrata,Chordata,Animalia,Bathyagonus pentacanthus,bigeye poacher
Bathyagonusnigripinnis,nigripinnis,Bathyagonus,Agonidae,Scorpaeniformes,Actinopterygii,Pisces,Vertebrata,Chordata,Animalia,Bathyagonus nigripinnis,blackfin poacher
BATHYLAGUS EURYOPS,euryops,Bathylagus,Bathylagidae,Osmeriformes,Actinopterygii,Pisces,Vertebrata,Chordata,Animalia,Bathylagus euryops,goiter blacksmelt
Bathymaster caeruleofasciatus,caeruleofasciatus,Bathymaster,Bathymasteridae,Perciformes,Actinopterygii,Osteichthyes,Vertebrata,Chordata,Animalia,Bathymaster caeruleofasciatus,Alaskan ronquil
Bathymaster signatus,signatus,Bathymaster,Bathymasteridae,Perciformes,Actinopterygii,Pisces,Vertebrata,Chordata,Animalia,Bathymaster signatus,searcher
Bathymastersignatus,signatus,Bathymaster,Bathymasteridae,Perciformes,Actinopterygii,Pisces,Vertebrata,Chordata,Animalia,Bathymaster signatus,searcher
Bathyplotes sp.,NA,Bathyplotes,Synallactidae,Aspidochirotida,Holothuroidea,NA,Echinozoa,Echinodermata,Animalia,Bathyplotes spp.,sea cucumber
Bathyraja aleutica,aleutica,Bathyraja,Arhynchobatidae,Rajiformes,Chondrichthyes,Chondrichthyes,Vertebrata,Chordata,Animalia,Bathyraja aleutica,Aleutian skate
Bathyraja interrupta,interrupta,Bathyraja,Arhynchobatidae,Rajiformes,Chondrichthyes,Chondrichthyes,Vertebrata,Chordata,Animalia,Bathyraja interrupta,sandpaper skate
Bathyraja maculata,maculata,Bathyraja,Arhynchobatidae,Rajiformes,Chondrichthyes,Chondrichthyes,Vertebrata,Chordata,Animalia,Bathyraja maculata,white-blotched skate
Bathyraja parmifera,parmifera,Bathyraja,Arhynchobatidae,Rajiformes,Chondrichthyes,Chondrichthyes,Vertebrata,Chordata,Animalia,Bathyraja parmifera,Alaska skate
Bathyraja sp.,NA,Bathyraja,Arhynchobatidae,Rajiformes,Chondrichthyes,Chondrichthyes,Vertebrata,Chordata,Animalia,Bathyraja spp.,roughtail skate
Bathyraja taranetzi,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bathyraja taranetzi,mud skate
Bathyraja trachura,trachura,Bathyraja,Arhynchobatidae,Rajiformes,Chondrichthyes,Chondrichthyes,Vertebrata,Chordata,Animalia,Bathyraja trachura,roughtail skate
Bathyrajasp,NA,Bathyraja,Rajidae,Rajiformes,Elasmobranchii,Pisces,Vertebrata,Chordata,Animalia,Bathyraja spp.,bathyrajid skates
Bathyrajasp.,NA,Bathyraja,Rajidae,Rajiformes,Elasmobranchii,Pisces,Vertebrata,Chordata,Animalia,Bathyraja spp.,bathyrajid skates
BELLATOR MILITARIS,militaris,Bellator,Triglidae,Scorpaeniformes,Actinopterygii,Osteichthyes,Vertebrata,Chordata,Animalia,Bellator militaris,horned searobin
Benthoctopus leioderma,leioderma,Benthoctopus,Octopodidae,Octopoda,Cephalopoda,NA,NA,Mollusca,Animalia,Benthoctopus leioderma,smoothskin octopus
Benthoctopus spp.,NA,Benthoctopus,Octopodidae,Octopoda,Cephalopoda,NA,NA,Mollusca,Animalia,Benthoctopus spp.,Octopus
Beringius beringii,behringi,Beringius,Buccinidae,Neogastropoda,Gastropoda,NA,NA,Mollusca,Animalia,Beringius behringi,true whelk
Beringius kennicottii,kennicottii,Beringius,Buccinidae,Neogastropoda,Gastropoda,NA,NA,Mollusca,Animalia,Beringius kennicottii,rotund whelk
Beringius sp.,NA,Beringius,Buccinidae,Neogastropoda,Gastropoda,NA,NA,Mollusca,Animalia,Beringius spp.,true whelks
Beringiusberingii,behringi,Beringius,Buccinidae,Neogastropoda,Gastropoda,NA,NA,Mollusca,Animalia,Beringius behringi,true whelk
Beringiussp.,NA,Beringius,Buccinidae,Neogastropoda,Gastropoda,NA,NA,Mollusca,Animalia,Beringius spp.,true whelks
Berryteuthis magister,magister,Berryteuthis,Gonatidae,Oegopsida,Cephalopoda,NA,NA,Mollusca,Animalia,Berryteuthis magister,magister armhook squid
Berryteuthismagister,magister,Berryteuthis,Gonatidae,Oegopsida,Cephalopoda,NA,NA,Mollusca,Animalia,Berryteuthis magister,magister armhook squid
Bivalvia,NA,NA,NA,NA,Bivalvia,NA,NA,Mollusca,Animalia,Bivalvia spp.,bivalves
Bolinia euryptera,euryptera,Bolinia,Cottidae,Scorpaeniformes,Actinopterygii,Osteichthyes,Vertebrata,Chordata,Animalia,Bolinia euryptera,sculpin
BOLLMAIA COMMUIS,communis,Bollmannia,Gobiidae,Perciformes,Actinopterygii,Osteichthyes,Vertebrata,Chordata,Animalia,Bollmaia commuis,ragged goby
BOLLMANNIA COMMUNIS,communis,Bollmannia,Gobiidae,Perciformes,Actinopterygii,Pisces,Vertebrata,Chordata,Animalia,Bollmannia communis,ragged goby
Boltenia ovifera,ovifera,Boltenia,Pyuridae,Pleurogona,Ascidiacea,NA,Urochordata,Chordata,Animalia,Boltenia ovifera,stalked sea squirt
Boltenia sp.,NA,Boltenia,Pyuridae,Pleurogona,Ascidiacea,NA,Urochordata,Chordata,Animalia,Boltenia spp.,sea squirt
BOREOGADUS SAIDA,saida,Boreogadus,Gadidae,Gadiformes,Actinopterygii,Pisces,Vertebrata,Chordata,Animalia,Boreogadus saida,Arctic cod
Boreogadus saida,saida,Boreogadus,Gadidae,Gadiformes,Actinopterygii,Pisces,Vertebrata,Chordata,Animalia,Boreogadus saida,Arctic cod
Bothrocara pusillum,pusillum,Bothrocara,Zoarcidae,Perciformes,Actinopterygii,Osteichthyes,Vertebrata,Chordata,Animalia,Bothrocara pusillum,Alaska eelpout
BOTHUS ROBINSI,,,,,,,,,,Bothus robinsi,Twospot flounder
Brachiopoda,NA,NA,NA,NA,NA,NA,NA,Brachiopoda,Animalia,Brachiopoda spp.,brachiopods
BREGMACEROS ATLANTICUS,atlanticus,Bregmaceros,Bregmacerotidae,Gadiformes,Actinopterygii,Pisces,Vertebrata,Chordata,Animalia,Bregmaceros atlanticus,antenna codlet
BREGMACEROS ATLATICUS,atlanticus,Bregmaceros,Bregmacerotidae,Gadiformes,Actinopterygii,Osteichthyes,Vertebrata,Chordata,Animalia,Bregmaceros atlaticus,antenna codlet
BREVOORTIA PATRONUS,patronus,Brevoortia,Clupeidae,Clupeiformes,Actinopterygii,Pisces,Vertebrata,Chordata,Animalia,Brevoortia patronus,Gulf menhaden
BREVOORTIA PATROUS,patronus,Brevoortia,Clupeidae,Clupeiformes,Actinopterygii,Pisces,Vertebrata,Chordata,Animalia,Brevoortia patronus,Gulf menhaden
BREVOORTIA SMITHI,,,,,,,,,,Brevoortia smithi,yellowfin menhaden
