SPEC,COMM,CODE,TSN
SYNAPHOBRANCHUS KAUPI,GRAY'S CUTTHROAT EEL,602,NA
LYCENCHELYS VERRILLI,WOLF EELPOUT,603,NA
NEMICHTHYS SCOLOPACEUS,SNIPE EEL,604,NA
NESSORHAMPHUS INGOLFIANUS,DUCKBILL OCEANIC EEL,607,NA
CONGER OCEANICUS,CONGER EEL,608,NA
AMMODYTES DUBIUS,NORTHERN SAND LANCE,610,NA
AMMODYTES SP.,SAND LANCE (NS),611,NA
DERICHTHYS SERPENTINUS,DERICHTHYS SERPENTINUS,612,NA
SERRIVOMER BEANI,STOUT SAWPALATE,613,NA
EURYPHARYNX PELECANOIDES,PELICAN GULPER,614,NA
LIPOGENYS GILLII,BACKFIN TAPIRFISH,615,NA
GYMNELIS VIRIDIS,FISH DOCTOR,616,NA
LYCENCHELYS PAXILLUS,COMMON WOLF EEL,617,NA
LYCODES TERRAENOVA,"EELPOUT,NEWFOUNDLAND",619,NA
LYCODES LAVALAEI,LAVAL'S EELPOUT,620,NA
PHOLIS GUNNELLUS,ROCK GUNNEL(EEL),621,NA
LUMPENUS LUMPRETAEFORMIS,SNAKE BLENNY,622,NA
LUMPENUS MACULATUS,DAUBED SHANNY,623,NA
STICHAEUS PUNCTATUS,ARCTIC SHANNY,624,NA
ULVARIA SUBBIFURCATA,RADIATED SHANNY,625,NA
EUMESOGRAMMUS PRAECISUS,4-LINE SNAKE BLENNY,626,NA
LYCODES PALLIDUS,PALE EELPOUT,627,NA
LYCODES POLARIS,POLAR EELPOUT,628,NA
CRYPTACANTHODES MACULATUS,WRYMOUTH,630,NA
LUMPENUS FABRICII,SLENDER EELBLENNY,631,NA
LUMPENUS MEDIUS,STOUT EELBLENNY,632,NA
PHOLIS FASCIATA,BANDED GUNNEL,633,NA
CALLIONYMIDAE F.,DRAGONETS,635,NA
FOETOREPUS AGASSIZI,SPOTFIN DRAGONET,637,NA
STICHAEIDAE F.,PRICKLEBACKS,639,NA
ZOARCES AMERICANUS,OCEAN POUT,640,NA
LYCODES RETICULATUS,ARCTIC EELPOUT,641,NA
LYCODES SP.,EELPOUTS(NS),642,NA
LYCODES ESMARKI,VACHON'S EELPOUT,643,NA
BLENNIOIDEI S.O.,"BLENNIES,SHANNIES,GUNNELS",644,NA
MELANOSTIGMA ATLANTICUM,ATLANTIC SOFT POUT,646,NA
LYCODES VAHLII,SHORTTAILED EELPOUT(VAHL),647,NA
ANGUILLIDAE F.,EEL-UNIDENTIFIED,648,NA
OPHIDIIDAE,CUSK-EELS INCLUDES BROTULIDAE F.,649,NA
LEPOPHIDIUM PROFUNDORUM,FAWN CUSK EEL,650,NA
SERRIVOMER SP.,SERRIVOMER SP.,656,NA
NOTACANTHIDAE F.,SPINY EELS (NS),662,NA
MYCTEROPERCA SP.,SEA BASSES,664,NA
MELANOSTOMIATIDAE (STOMIATIDAE) F.,"DRAGONFISHES,SMOOTH",665,NA
EPIGONUS DENTICULATUS,EPIGONUS DENTICULATUS,677,NA
VINCIGUERRIA NIMBARIA,VINCIGUERRIA NIMBARIA,684,NA
OGCOCEPHALIDAE F.,BATFISHES,694,NA
ARGYROPELECUS ACULEATUS,"HATCHETFISH, ATLANTIC SILVER",700,NA
PEPRILUS TRIACANTHUS,BUTTERFISH,701,NA
ZENOPSIS OCELLATA,AMERICAN JOHN DORY,704,NA
ARGYROPELECUS GIGAS,ARGYROPELECUS GIGAS,705,NA
POLYIPNUS CLARUS,"HATCHETFISH,SLOPE",708,NA
STERNOPTYX DIAPHANA,TRANSPARENT HATCHETFISH,709,NA
ALEPISAURUS FEROX,LONGNOSE LANCETFISH,710,NA
PARALEPIS ATLANTICA,SHORT BARRACUDINA,711,NA
NOTOLEPIS RISSOI,WHITE BARRACUDINA,712,NA
PARALEPIDIDAE F.,"BARRACUDINA,UNIDENTIFIED",713,NA
BENTHODESMUS SIMONYI,SIMONYI'S FROSTFISH,714,NA
BOROSTOMIAS ANTARCTICUS,STRAIGHTLINE DRAGONFISH,716,NA
