SPEC,COMM,CODE,TSN
SYNAPHOBRANCHUS KAUPI,GRAY'S CUTTHROAT EEL,602,NA
LYCENCHELYS VERRILLI,WOLF EELPOUT,603,NA
NEMICHTHYS SCOLOPACEUS,SNIPE EEL,604,NA
AMMODYTES DUBIUS,NORTHERN SAND LANCE,610,NA
SERRIVOMER BEANI,STOUT SAWPALATE,613,NA
GYMNELIS VIRIDIS,FISH DOCTOR,616,NA
LYCENCHELYS PAXILLUS,COMMON WOLF EEL,617,NA
LYCODES TERRAENOVA,"EELPOUT,NEWFOUNDLAND",619,NA
LYCODES LAVALAEI,LAVAL'S EELPOUT,620,NA
LUMPENUS LUMPRETAEFORMIS,SNAKE BLENNY,622,NA
LUMPENUS MACULATUS,DAUBED SHANNY,623,NA
ULVARIA SUBBIFURCATA,RADIATED SHANNY,625,NA
EUMESOGRAMMUS PRAECISUS,4-LINE SNAKE BLENNY,626,NA
LYCODES PALLIDUS,PALE EELPOUT,627,NA
CRYPTACANTHODES MACULATUS,WRYMOUTH,630,NA
LUMPENUS FABRICII,SLENDER EELBLENNY,631,NA
PHOLIS FASCIATA,BANDED GUNNEL,633,NA
FOETOREPUS AGASSIZI,SPOTFIN DRAGONET,637,NA
ZOARCES AMERICANUS,OCEAN POUT,640,NA
LYCODES RETICULATUS,ARCTIC EELPOUT,641,NA
LYCODES SP.,EELPOUTS(NS),642,NA
LYCODES ESMARKI,VACHON'S EELPOUT,643,NA
MELANOSTIGMA ATLANTICUM,ATLANTIC SOFT POUT,646,NA
LYCODES VAHLII,SHORTTAILED EELPOUT(VAHL),647,NA
OGCOCEPHALIDAE F.,BATFISHES,694,NA
APOGONIDAE F.,CARDINAL FISHES,697,NA
ARGYROPELECUS ACULEATUS,"HATCHETFISH, ATLANTIC SILVER",700,NA
PEPRILUS TRIACANTHUS,BUTTERFISH,701,NA
ZENOPSIS OCELLATA,AMERICAN JOHN DORY,704,NA
POLYIPNUS CLARUS,"HATCHETFISH,SLOPE",708,NA
NOTOLEPIS RISSOI,WHITE BARRACUDINA,712,NA
NOTACANTHUS CHEMNITZII,SPINY EEL,740,NA
STERNOPTYCHIDAE F.,UNIDENTIFIED HATCHETFISH,741,NA
DIBRANCHUS ATLANTICUS,ATLANTIC BATFISH,742,NA
POLYMIXIA NOBILIS,STOUT BEARD FISH,744,NA
STOMIAS SP.,DRAGONFISH UNIDENTIFIED,756,NA
POLYMIXIA LOWEI,BEARDFISH,771,NA
GRAMMICOLEPIS BRACHIUSCULUS,THORNY TINSELFISH,777,NA
BERYCIFORMES O.,BERYCOID FISH,802,NA
SYMPHURUS DIOMEDEANUS,TONGUE FISH,816,NA
MALACOSTEIDAE F.,LOOSEJAWS (NS),819,NA
PARALIPARIS CALIDUS,SEASNAIL,868,NA
PARALIPARIS GARMANI,SEASNAIL,869,NA
ARTEDIELLUS ATLANTICUS,"HOOKEAR SCULPIN,ATL.",880,NA
PHOCIDAE F.,SEALS (NS),900,NA
ECTREPOSEBASTES IMUS,ECTREPOSEBASTES IMUS,901,NA
FISH EGGS-UNIDENTIFIED,FISH EGGS-UNIDENTIFIED,1200,NA
RAJA EGGS,SKATE UNID. EGGS,1224,NA
MYOXOCEPHALUS EGGS,SCULPIN EGGS UNID.,1228,NA
BUCCINIDAE EGGS,WHELK EGGS (NS),1510,NA
TUNICATA S.P.,TUNICATA S.P.,1810,NA
BOLTENIA SP.,SEA POTATO,1823,NA
BRYOZOANS BRACHIOPODA P.,LAMPSHELLS,1930,NA
CRUSTACEA C.,CRUSTACEA C.,2000,NA
DECAPODA O.,SHRIMPS,2100,NA
PANDALIDAE F.,PANDALIDAE F.,2200,NA
PANDALUS SP.,PANDALUS SP.,2210,NA
PANDALUS BOREALIS,PANDALUS BOREALIS,2211,NA
PANDALUS MONTAGUI,PANDALUS MONTAGUI,2212,NA
ATLANTOPANDALUS PROPINQVUS,ATLANTOPANDALUS PROPINQUUS,2213,NA
PASIPHAEIDAE F.,PASIPHAEIDAE F.,2219,NA
PASIPHAEA TARDA,PASIPHAEA TARDA,2220,NA
