svgear,gear_definition,doe,doc,uoe,uoc
"0","Plankton, Hydrographic and/or Misc Gear (See ""other gear"" codes)",10/7/2001 4:18:56 PM,8/9/1999 3:30:06 PM,"SVDBS","HYACHMET"
"07","3 Bridle 4 Seam Survey Trawl",12/10/2009 12:36:49 PM,,"SVDBS",
"08","3 Bridle 4 Seam Survey Trawl: Flat Sweep",1/8/2007 11:20:49 AM,,"SVDBS",
"09","Monkfish net with 6 inch mesh",9/15/2004 11:56:51 AM,9/15/2004 11:57:48 AM,"SVDBS","SVDBS"
"10","3 Bridle 4 Seam Survey Trawl: Rockhopper Sweep",1/8/2007 11:20:49 AM,,"SVDBS",
"11","36 YANKEE TRAWL",10/7/2001 4:18:56 PM,,"SVDBS",
"12","SANDY HOOK LAB 3/4 YANKEE TRAWL",10/7/2001 4:18:56 PM,,"SVDBS",
"14","SANDY HOOK LAB SMALL BAY TRAWL",10/7/2001 4:18:56 PM,,"SVDBS",
"15","STANDARD 36 YANKEE WITH GROUND CABLE",10/7/2001 4:18:56 PM,,"SVDBS",
"16","Sandy Hook lab 36 Yankee trawl with chain through cookies",10/7/2001 4:18:56 PM,,"SVDBS",
"17","Winter Survey Flat Net Trawl 60-80",10/7/2001 4:18:56 PM,5/7/2004 3:38:30 PM,"SVDBS","SVDBS"
"18","IBS COD TRAWL",3/28/2005 10:48:49 AM,,"SVDBS",
"19","STANDARD 36 YANKEE WITH GROUND CABLE AND EXTENSION PIECE",10/7/2001 4:18:56 PM,,"SVDBS",
"20","IBS YELLOWTAIL TRAWL",3/28/2005 10:49:02 AM,,"SVDBS",
"21","COOPERATIVE RESEARCH HADDOCK GEAR SELECTIVITY NET",11/29/2005 2:17:48 PM,11/29/2005 2:19:12 PM,"SVDBS","SVDBS"
"22","COOPERATIVE RESEARCH TWIN TRAWL - Loligo Bottom trawl net",9/9/2008 1:28:03 PM,,"SVDBS",
"24","Swan 8x8 Midwater Trawl",4/23/2015 3:45:58 PM,,"SVDBS",
"25","MODIFIED 4 SEAM COMMERCIAL SHRIMP TRAWL WITH 1-1/4 CODEND",10/7/2001 4:18:56 PM,,"SVDBS",
